Feb 10 19:40:28 dsm-f kernel: [   97.721236] SoftIWARP attached
Feb 10 19:40:28 dsm-f kernel: [   97.765615] [dsm_init] ip : 192.168.1.106
Feb 10 19:40:28 dsm-f kernel: [   97.765617] [dsm_init] port : 4444
Feb 10 19:40:38 dsm-f kernel: [  108.220973] [DSM_DSM]
Feb 10 19:42:57 dsm-f kernel: [  247.350069]  [_dsm_extract_page] faulting for page 00007f42db17a000  
Feb 10 19:42:57 dsm-f kernel: [  247.350071]  [_dsm_extract_page] got page ffffea000fbc3740  
Feb 10 19:42:57 dsm-f kernel: [  247.350072]  [_dsm_extract_page] faulting for page 00007f42db17b000  
Feb 10 19:42:57 dsm-f kernel: [  247.350074]  [_dsm_extract_page] got page ffffea000fbc3780  
Feb 10 19:42:57 dsm-f kernel: [  247.350075]  [_dsm_extract_page] faulting for page 00007f42db17c000  
Feb 10 19:42:57 dsm-f kernel: [  247.350077]  [_dsm_extract_page] got page ffffea000fbc37c0  
Feb 10 19:42:57 dsm-f kernel: [  247.350078]  [_dsm_extract_page] faulting for page 00007f42db17d000  
Feb 10 19:42:57 dsm-f kernel: [  247.350080]  [_dsm_extract_page] got page ffffea000fbc3800  
Feb 10 19:42:57 dsm-f kernel: [  247.350082]  [_dsm_extract_page] faulting for page 00007f42db17e000  
Feb 10 19:42:57 dsm-f kernel: [  247.350083]  [_dsm_extract_page] got page ffffea000fbc3840  
Feb 10 19:42:57 dsm-f kernel: [  247.350085]  [_dsm_extract_page] faulting for page 00007f42db17f000  
Feb 10 19:42:57 dsm-f kernel: [  247.350086]  [_dsm_extract_page] got page ffffea000fbc3880  
Feb 10 19:42:57 dsm-f kernel: [  247.350088]  [_dsm_extract_page] faulting for page 00007f42db180000  
Feb 10 19:42:57 dsm-f kernel: [  247.350089]  [_dsm_extract_page] got page ffffea000fbc38c0  
Feb 10 19:42:57 dsm-f kernel: [  247.350091]  [_dsm_extract_page] faulting for page 00007f42db181000  
Feb 10 19:42:57 dsm-f kernel: [  247.350093]  [_dsm_extract_page] got page ffffea000fbc3900  
